tradRes1,tradRes2
值錢,值钱
假裝,假装
假設,假设
假話,假话
假說,假说
假貨,假货
偉人,伟人
偉大,伟大
偉岸,伟岸
偏愛,偏爱
偏頗,偏颇
做什麼,做什么
做功課,做功课
做夢,做梦
做實驗,做实验
做愛,做爱
做牛做馬,做牛做马
停機德,停机德
停權,停权
停滯,停滞
停車,停车
停車格,停车格
健兒,健儿
健壯,健壮
健壯性,健壮性
健康由於,健康由于
側面,侧面
偵探,侦探
偷工減料,偷工减料
偷懶,偷懒
偷聽,偷听
偽劣,伪劣
偽裝,伪装
偽裝者,伪装者
傑克,杰克
傑出,杰出
傘,伞
備忘錄,备忘录
傢俱,家具
傢具,家具
傲嬌,傲娇
傲慢與偏見,傲慢与偏见
傳人,传人
傳承,传承
傳播,传播
傳真,传真
傳統,传统
傳聞,传闻
傳聲筒,传声筒
傳記,传记
傳說,传说
傳銷,传销
債務,债务
傷,伤
傷亡,伤亡
傷口,伤口
傷害,伤害
傷害性,伤害性
傷心,伤心
傷心了,伤心了
傷心太平洋,伤心太平洋
傷疤,伤疤
傷痕,伤痕
傻的嗎,傻的吗
傾國,倾国
傾聽,倾听
僧侶,僧侣
價值,价值
價值觀,价值观
價值連城,价值连城
價格,价格
價錢,价钱
儀器,仪器
儀式,仪式
儀態,仪态
儀表,仪表
億零八,亿零八
儒學,儒学
償命,偿命
償還,偿还
優,优
優しい,优しい
優しい世界,优しい世界
優勢,优势
優化,优化
優惠,优惠
優惠卷,优惠卷
優格,优格
優秀,优秀
優美,优美
優良,优良
優酪乳,优酪乳
優雅,优雅
優點,优点
儲備,储备
儲存,储存
允許,允许
充實,充实
兇,凶
兇器,凶器
兇惡,凶恶
兇手,凶手
兇案,凶案
兇狠,凶狠
兇猛,凶猛
兇鈴,凶铃
光暈,光晕
光榮,光荣
光澤,光泽
光環,光环
光線,光线
光陰,光阴
光頭,光头
光鮮亮麗,光鲜亮丽
克里斯多扶 諾蘭,克里斯多扶 诺兰
免費,免费
兒女,儿女
兒子,儿子
兒歌,儿歌
兒童,儿童
入場卷,入场卷
入時,入时
入贅,入赘
入門,入门
內,内
內交,内交
內向,内向
內在,内在
內容,内容
內幕,内幕
內心,内心
內心看法,内心看法
內急,内急
內涵,内涵
內環,内环
內科,内科
內臟,内脏
內衣,内衣
內褲,内裤
內部,内部
全壘打,全垒打
全職高手,全职高手
全部野都拿曬,全部野都拿晒
兩人,两人
兩個,两个
兩個人,两个人
兩小無猜,两小无猜
兩百塊,两百块
兩輪,两轮
兩邊,两边
八寶粥,八宝粥
八爪魚,八爪鱼
公共財,公共财
公務員,公务员
公國,公国
公園,公园
公權利,公权利
公眾場所,公众场所
公車,公车
公開,公开
公開中,公开中
公開試,公开试
六塊腹肌,六块腹肌
六隻腳,六只脚
共和黨,共和党
共產主義,共产主义
共產黨宣言,共产党宣言
共用針頭,共用针头
共贏,共赢
共軍,共军
兵工廠,兵工厂
兵長,兵长
兵馬俑,兵马俑
兵馬俑之類的,兵马俑之类的
其樂,其乐
其貌不揚,其貌不扬
典禮,典礼
再見,再见
冒名頂替,冒名顶替
冒煙,冒烟
冒險家,冒险家
冠狀動脈心臟病,冠状动脉心脏病
冰可樂,冰可乐
冰晶玉潔,冰晶玉洁
冰櫃,冰柜
冰涼,冰凉
冰雪奇緣,冰雪奇缘
冶煉鑄造,冶炼铸造
冶鐵,冶铁
冷凍,冷冻
冷卻,冷却
冷戰,冷战
冷氣,冷气
冷門,冷门
冷靜,冷静
冷頸巾,冷颈巾
冷飲,冷饮
凌厲,凌厉
凍,冻
凜然,凛然
凝視,凝视
凡爾賽條約,凡尔赛条约
凶神惡煞,凶神恶煞
出動,出动
出國,出国
出師表,出师表
出發,出发
出眾,出众
出軌,出轨
出遊,出游
出錯,出错
出門,出门
出門去,出门去
出類拔萃,出类拔萃
刀劍,刀剑
刀劍亂舞,刀剑乱舞
刁蠻,刁蛮
分別,分别
分數,分数
分號,分号
分鏡,分镜
分門別類,分门别类
分類,分类
切斷,切断
列車,列车
初戀,初恋
判斷,判断
判決,判决
別々,别々
別れ,别れ
別人,别人
別人家的孩子,别人家的孩子
別離,别离
利比亞,利比亚
利潤,利润
到時,到时
到處,到处
到達,到达
刺熱,刺热
刻苦耐勞,刻苦耐劳
剃鬍,剃胡
剋,克
前一個地球,前一个地球
前所未見,前所未见
前輩,前辈
前進,前进
前頭葉,前头叶
剎那,刹那
剛剛,刚刚
剛好,刚好
剛強,刚强
剛才,刚才
剝削,剥削
副詞,副词
創作,创作
創意,创意
創新,创新
創業,创业
劃傷,划伤
劃分,划分
劃地,划地
劃定,划定
劇場版,剧场版
劈開,劈开
劉,刘
劉亦菲,刘亦菲
劉備,刘备
劉慈欣,刘慈欣
劍,剑
劑,剂
力大無窮,力大无穷
力氣,力气
功勳,功勋
功課,功课
加快行動,加快行动
加深加廣,加深加广
加錢,加钱
劣質,劣质
助聽器,助听器
勇氣,勇气
勉強度日,勉强度日
動,动
動作,动作
動作片,动作片
動力,动力
動漫,动漫
動物,动物
動物農莊,动物农庄
動畫,动画
動聽,动听
動腦,动脑
動腳,动脚
動詞,动词
動身,动身
務實,务实
勝利,胜利
勝訴,胜诉
勝負,胜负
勞動,劳动
勞動力,劳动力
勞心,劳心
勞民傷財,劳民伤财
勞累,劳累
勢利,势利
勢力,势力
勤儉持家,勤俭持家
勤勞,勤劳
勤奮,勤奋
勸奮,劝奋
勸架,劝架
勾心鬥角,勾心斗角
勾結,勾结
包紮,包扎
包裏,包里
包裝,包装
化妝,化妆
化妝品,化妆品
化學,化学
化學物質,化学物质
化學週期表,化学周期表
化工廠,化工厂
北極星,北极星
北極熊,北极熊
北（上面那個打錯字了）,北（上面那个打错字了）
匯報,汇报
匯流,汇流
匯率,汇率
匾額,匾额
區,区
區別,区别
區域,区域
區議會,区议会
十二個,十二个
十五世紀,十五世纪
十環,十环
千山萬水,千山万水
千手觀音,千手观音
千紙鶴,千纸鹤
千鈞一髮,千钧一发
升溫,升温
升級,升级
升降機,升降机
午後,午后
午覺,午觉
午飯,午饭
半輩子,半辈子
卑賤,卑贱
卓爾不凡,卓尔不凡
協作,协作
協商,协商
協約,协约
協調,协调
南京大屠殺,南京大屠杀
南極,南极
南風,南风
博學,博学
博愛,博爱
博物館,博物馆
博識,博识
卡繆,卡缪
卡車,卡车
印尼外勞,印尼外劳
危機,危机
危險,危险
卻,却
厚臉皮,厚脸皮
原子彈,原子弹
原珠筆,原珠笔
厭世,厌世
厭倦,厌倦
厭惡,厌恶
厭棄,厌弃
厭煩,厌烦
厲害,厉害
厲害的,厉害的
去舊迎新,去旧迎新
參加,参加
參照,参照
參與,参与
又一個,又一个
又來,又来
友軍,友军
反反復複,反反复复
反對,反对
反應,反应
反應堆,反应堆
反戰,反战
反敗為勝,反败为胜
反社會,反社会
反社會人格,反社会人格
反覆,反复
反轉,反转
受傷,受伤
受眾人群,受众人群
受難,受难
叛變,叛变
叛軍,叛军
叢林,丛林
口乾,口干
口吐蓮花,口吐莲花
口紅,口红
口號,口号
口語,口语
口頭禪,口头禅
口風琴,口风琴
口齒不清,口齿不清
古代話,古代话
古嚕聲,古噜声
古書,古书
古禮,古礼
古箏,古筝
古舊,古旧
古詩,古诗
古銅色,古铜色
句號,句号
句點,句点
另外一個,另外一个
叨擾,叨扰
只說不做,只说不做
召喚,召唤
可惡,可恶
可愛,可爱
可憐,可怜
可樂,可乐
可達鴨,可达鸭
台東,台东
台灣,台湾
台獨,台独
台語歌,台语歌
右邊,右边
叵測,叵测
司儀,司仪
司機,司机
吃喝玩樂,吃喝玩乐
吃廁所,吃厕所
吃東西,吃东西
吃的粉絲,吃的粉丝
吃綢鱼使我打嗝,吃绸鱼使我打嗝
吃藥,吃药
吃軟飯,吃软饭
吃過飯嗎,吃过饭吗
吃飯,吃饭
吃飯的地方,吃饭的地方
吃驚,吃惊
各付各賬,各付各账
各種口味,各种口味
合併,合并
合唱團,合唱团
合的來,合的来
合約,合约
合適,合适
吊帶,吊带
同儕,同侪
同學,同学
同性戀,同性恋
同棲,同栖
同樣,同样
名畫,名画
名聲,名声
名號,名号
名貴,名贵
吐氣如蘭,吐气如兰
向上生長,向上生长
向後,向后
吝嗇,吝啬
吧檯,吧台
含義,含义
吳承恩,吴承恩
吴克羣,吴克群
吵雜,吵杂
吵鬧,吵闹
吶,呐
吶喊,呐喊
吸煙,吸烟
吸菸區,吸烟区
吸貓,吸猫
呂布,吕布
呈堂證供,呈堂证供
呈穩,呈稳
告狀,告状
告訴,告诉
周杰倫,周杰伦
周轉,周转
周邊,周边
味千拉麵,味千拉面
呼喚,呼唤
命辯,命辩
命運,命运
命運交響曲,命运交响曲
和藹,和蔼
和諧,和谐
咒罵,咒骂
咒語,咒语
咕嚕肉,咕噜肉
咖啡廳,咖啡厅
咧開,咧开
哀傷,哀伤
品嚐,品尝
品質,品质
哆拉A夢,哆拉A梦
哈囉,哈啰
哎喲,哎哟
員外,员外
員工,员工
哪個,哪个
哪兒,哪儿
哲學,哲学
哲學家,哲学家
哲彥,哲彦
哺乳動物,哺乳动物
哺乳類動物,哺乳类动物
唉聲嘆氣,唉声叹气
唐氏綜合症,唐氏综合症
唐詩,唐诗
唐頓莊園,唐顿庄园
唬爛,唬烂
唱片機,唱片机
唸書,念书
商業,商业
商業精英,商业精英
商標,商标
商討,商讨
問句,问句
問號,问号
問題,问题
啞,哑
啞巴,哑巴
啟動,启动
啼鳴,啼鸣
善惡,善恶
善變的,善变的
喘不過氣,喘不过气
喜悅,喜悦
喜慶,喜庆
喜極而泣,喜极而泣
喜樂,喜乐
喜歡,喜欢
喜瑪拉雅山,喜玛拉雅山
喜馬拉雅山,喜马拉雅山
喝得太兇,喝得太凶
喧嘩,喧哗
喧嘩する,喧哗する
喧囂,喧嚣
喧鬧,喧闹
喪偶,丧偶
單人,单人
單位,单位
單向,单向
單方面,单方面
單機,单机
單相思,单相思
單純,单纯
單調,单调
單身,单身
單車,单车
嗅覺,嗅觉
嗲聲嗲氣,嗲声嗲气
嗶嗶,哔哔
嘆氣,叹气
嘈鬧,嘈闹
嘉獎,嘉奖
嘔吐,呕吐
嘔吐人,呕吐人
嘗試,尝试
嘲諷,嘲讽
嘴腦,嘴脑
嘶啞,嘶哑
噁心,恶心
噓,嘘
器官買賣,器官买卖
噩夢,噩梦
噪聲,噪声
噴口水,喷口水
噴泉,喷泉
嚇一跳,吓一跳
嚇人,吓人
嚴厲,严厉
嚴實,严实
嚴整,严整
嚴肅,严肃
嚴謹,严谨
囂張,嚣张
四度空間,四度空间
四書五經,四书五经
四腳爬爬,四脚爬爬
四處亂跑,四处乱跑
四邊形,四边形
回來,回来
回報,回报
回心轉意,回心转意
回憶,回忆
回文詩,回文诗
回歸,回归
回籠,回笼
回贈,回赠
回車鍵,回车键
回鄉,回乡
回頭,回头
回饋,回馈
因為,因为
困難,困难
困難度,困难度
困頓,困顿
固執,固执
固體,固体
圈挾,圈挟
國中二年級,国中二年级
國事,国事
國債,国债
國外,国外
國字,国字
國家,国家
國家寶藏,国家宝藏
國慶,国庆
國旗,国旗
國歌,国歌
國民,国民
國民福利,国民福利
國泰民安,国泰民安
國王,国王
國界,国界
國畫,国画
國粹,国粹
國色,国色
國語,国语
國道,国道
國際,国际
國際法,国际法
國際貿易,国际贸易
圍堵,围堵
圍巾,围巾
圍牆,围墙
圍裙,围裙
園藝,园艺
圓,圆
圓圈,圆圈
圓形,圆形
圓柱,圆柱
圓滑,圆滑
圓的,圆的
圓舞曲,圆舞曲
圓通,圆通
圖像,图像
圖形,图形
圖書委員,图书委员
圖書館,图书馆
圖片,图片
圖畫,图画
圖釘,图钉
團,团
團兵,团兵
團圓,团圆
團建,团建
團結,团结
團聚,团聚
團長,团长
團隊,团队
團體,团体
土雞,土鸡
土黃色,土黄色
在人間,在人间
在地上翻滾,在地上翻滚
在說我嗎,在说我吗
在這停頓,在这停顿
地下開採,地下开采
地價,地价
地區,地区
地圖,地图
地基不穩,地基不稳
地平線,地平线
地溝油,地沟油
地獄,地狱
地球只有一個,地球只有一个
地球毀滅,地球毁灭
地盤,地盘
地鐵,地铁
地震儀,地震仪
地震帶,地震带
地頭蛇,地头蛇
地點,地点
均質機,均质机
坐墊,坐垫
坐看雲起時,坐看云起时
坐車坐好久,坐车坐好久
坦白從寬,坦白从宽
垂頭,垂头
型號,型号
埃及艷后,埃及艳后
城牆,城墙
城鄉,城乡
城鄉結合部,城乡结合部
執政,执政
培養,培养
基層,基层
基礎,基础
堅固,坚固
堅定,坚定
堅強,坚强
堅持,坚持
堅硬,坚硬
堆積,堆积
堪憐,堪怜
堯舜,尧舜
報告,报告
報復,报复
報答,报答
報紙,报纸
報關,报关
場,场
場合(ばあい),场合(ばあい)
場地,场地
場所,场所
堵車,堵车
塊,块
塑膠,塑胶
塑膠袋,塑胶袋
塗改帶,涂改带
塗醒哲,涂醒哲
塚不二,冢不二
塞翁失馬,塞翁失马
塞車,塞车
填充烤雞,填充烤鸡
填滿,填满
填補,填补
填詞,填词
塵,尘
塵土,尘土
塵埃,尘埃
墊底,垫底
墨鏡,墨镜
墳墓,坟墓
壓,压
壓住,压住
壓制,压制
壓力,压力
壓抑,压抑
壓縮,压缩
壓迫,压迫
壘,垒
壞,坏
壞事,坏事
壞人,坏人
壞壞,坏坏
壞掉了,坏掉了
壞的,坏的
壞皇后,坏皇后
壞習慣,坏习惯
壞話,坏话
士兵  仇恨 善惡,士兵  仇恨 善恶
士氣,士气
壯闊,壮阔
壯麗,壮丽
壽司,寿司
壽衣,寿衣
夏洛克福爾摩斯,夏洛克福尔摩斯
夕陽,夕阳
外匯,外汇
外匯投資,外汇投资
外國,外国
外國人,外国人
外國明星,外国明星
外語,外语
多媒體室,多媒体室
多數,多数
多樣,多样
多樣性,多样性
夜壺,夜壶
夢,梦
夢境,梦境
夢寐以求,梦寐以求
夢幻,梦幻
夢想,梦想
夢想成真,梦想成真
大作戰,大作战
大勢,大势
大問號,大问号
大國,大国
大國崛起,大国崛起
大姨媽,大姨妈
大媽,大妈
大學,大学
大學數學,大学数学
大學生,大学生
大學站,大学站
大家閨秀,大家闺秀
大小適中,大小适中
大島優子,大岛优子
大師,大师
大師傅,大师傅
大廈,大厦
大廚,大厨
大戰,大战
大樂,大乐
大樓,大楼
大樹,大树
大氣,大气
大無畏,大无畏
大盜,大盗
大眾,大众
大眾的,大众的
大眾點評,大众点评
大綱,大纲
大綱提要,大纲提要
大義,大义
大聲,大声
大聲說話,大声说话
大腳,大脚
大腸麵線,大肠面线
大臉,大脸
大舊飯,大旧饭
大航海時代,大航海时代
大衛,大卫
大逃殺,大逃杀
大陸,大陆
大陸人,大陆人
大陸地名,大陆地名
大陽臉罩,大阳脸罩
大隻仔,大只仔
大集團,大集团
大風,大风
大餅,大饼
大餅(硬幣),大饼(硬币)
大體觀,大体观
天安門,天安门
天擇,天择
天敵,天敌
天氣,天气
天氣昏暗,天气昏暗
天災,天灾
天線,天线
天蓬元帥,天蓬元帅
天賜,天赐
天賦,天赋
天高鳥飛,天高鸟飞
太監,太监
太陰地道,太阴地道
太陽,太阳
太陽系,太阳系
太陽能,太阳能
太陽能熱水器,太阳能热水器
太麻煩,太麻烦
失去主要標的,失去主要标的
失心瘋,失心疯
失憶,失忆
失戀,失恋
失敗,失败
失業,失业
失準,失准
失禮,失礼
失約,失约
失調,失调
失蹤,失踪
失靈,失灵
奇異,奇异
奇緣,奇缘
奇跡,奇迹
奇跡暖暖,奇迹暖暖
奇蹟,奇迹
奈何橋,奈何桥
奈須,奈须
契約,契约
奧客,奥客
奧秒,奥秒
奧運,奥运
奪去,夺去
奬品,奖品
奮鬥,奋斗
女兒,女儿
女兒節,女儿节
女媧,女娲
女強人,女强人
女權,女权
女演員,女演员
她有東西,她有东西
好久不見,好久不见
好傷心,好伤心
好厲害,好厉害
好天氣,好天气
好學生,好学生
好憂傷,好忧伤
好東西,好东西
好睏,好困
好種,好种
好萊塢,好莱坞
好複雜,好复杂
好運,好运
好飲,好饮
好麻煩,好麻烦
如福州的天氣,如福州的天气
如若木雞,如若木鸡
妖艷賤貨,妖艳贱货
妖鏡,妖镜
妝容,妆容
妥協,妥协
始終,始终
姐們,姐们
姑蘇藍氏,姑苏蓝氏
委員,委员
姨媽,姨妈
姿勢,姿势
娛樂,娱乐
娛樂圈,娱乐圈
婆羅門,婆罗门
婚禮,婚礼
婚紗,婚纱
婦女,妇女
媒體,媒体
媳婦,媳妇
媽,妈
媽媽,妈妈
媽祖,妈祖
嫌惡,嫌恶
嫻熟,娴熟
嬤嬤,嬷嬷
嬰兒,婴儿
嬲鳩,嬲鸠
孃孃,娘娘
子不語,子不语
子孫,子孙
子宮,子宫
子彈,子弹
子時,子时
子泣爺爺,子泣爷爷
子虛烏有,子虚乌有
孔子學院,孔子学院
孔融讓梨,孔融让梨
孕婦,孕妇
字條,字条
字裡人間,字里人间
存錢,存钱
孟德爾遺傳定律,孟德尔遗传定律
孤兒,孤儿
孤兒院,孤儿院
孤單,孤单
孤星淚,孤星泪
孤獨,孤独
孫,孙
孫中山,孙中山
孫子兵法,孙子兵法
孫悟空,孙悟空
學,学
學問,学问
學士,学士
學士帽,学士帽
學姊,学姊
學弟,学弟
學校,学校
學校獎勵,学校奖励
學業,学业
學歷,学历
學海如涯,学海如涯
學測,学测
學生,学生
學科,学科
學習,学习
學者,学者
學術,学术
學說,学说
學長,学长
學霸,学霸
宇宙射綫,宇宙射线
守望先鋒,守望先锋
守舊,守旧
守衛,守卫
守護,守护
安撫,安抚
安眠藥,安眠药
安祿山,安禄山
安穩,安稳
安裝,安装
安詳,安详
安靜,安静
完形崩壞,完形崩坏
完成拼圖,完成拼图
完璧歸趙,完璧归赵
完結,完结
宏偉,宏伟
宏觀,宏观
宏達,宏达
官員,官员
官話,官话
定岡光圀（电视剧角色）,定冈光圀（电视剧角色）
定義,定义
宝塚,宝冢
宝塚歌剧团,宝冢歌剧团
客戶端,客户端
客氣,客气
客觀,客观
客語,客语
客運,客运
宣佈,宣布
宣傳,宣传
宣戰,宣战
宣紙,宣纸
室內,室内
宮崎駿,宫崎骏
宮殿,宫殿
害人不淺,害人不浅
害死貓,害死猫
宴會,宴会
家務,家务
家園,家园
家庭觀眾,家庭观众
家裡經常不夠用,家里经常不够用
家裡親戚,家里亲戚
家鄉,家乡
家長,家长
容納,容纳
宿題,宿题
密不透風,密不透风
密碼,密码
密集恐懼,密集恐惧
密集恐懼症,密集恐惧症
富蘭克林,富兰克林
寢具,寝具
寢室,寝室
寢宮,寝宫
寥寥無幾,寥寥无几
實力,实力
實在,实在
實現,实现
實踐,实践
實際,实际
實際行動,实际行动
實驗,实验
實驗室,实验室
寧缺勿濫,宁缺勿滥
寧靜,宁静
審美,审美
寫作,写作
寫作手法,写作手法
寫作業,写作业
寫報告,写报告
寫字,写字
寫真,写真
寬容,宽容
寬廣,宽广
寬恕,宽恕
寬闊,宽阔
寵愛,宠爱
寵物,宠物
寵物小精靈,宠物小精灵
寶寶,宝宝
寶物,宝物
寶蓮燈,宝莲灯
寶藏,宝藏
寶貝,宝贝
寺廟,寺庙
封閉,封闭
射燈,射灯
将傾,将倾
將來,将来
將功補過,将功补过
將相,将相
將軍,将军
專業,专业
專業人士,专业人士
專權,专权
專注,专注
專長,专长
尊榮,尊荣
尊老愛幼,尊老爱幼
尋,寻
尋找,寻找
尋求,寻求
尋狗啟示,寻狗启示
尋覓,寻觅
對,对
對不起,对不起
對勾,对勾
對對,对对
對戰,对战
對手,对手
對抗,对抗
對方,对方
對望,对望
對比,对比
對流層,对流层
對照實驗,对照实验
對砍賽,对砍赛
對稱,对称
對立,对立
對話,对话
對話錄,对话录
對象,对象
對錯,对错
對陣,对阵
對面,对面
導彈,导弹
導演,导演
導火線,导火线
小仲馬,小仲马
小兒麻痺,小儿麻痺
小分隊,小分队
小動作,小动作
小動物,小动物
小叮噹,小叮当
小吃攤,小吃摊
小學,小学
小學生,小学生
小廣告,小广告
小強,小强
小怪獸,小怪兽
小房間,小房间
小時候,小时候
小樹苗,小树苗
小橋,小桥
小氣,小气
小測,小测
小爺,小爷
小白領,小白领
小籠,小笼
小紅花,小红花
小組,小组
小組討論,小组讨论
小說,小说
