Cue,R1Raw,R2Raw,R3Raw
下雨,雨伞,"湿湿","风衣"
下雨,伞,"泥泞","水滴"
下雨,打伞,"湿润","地面"
下雨,伞,"湿润","乌云"
下雨,伞,"湿水","天空"
下雨,伞,"湿滴","积水"
下雨,湿润,"伞","街道"
下雨,云,"伞","水"
下雨,外面,"湿漉","伞"
下雨,湿地,"伞声","小径"
下雨,雨伞,"雷声","泥泞"
下雨,湿地,"泥泞","雨滴"
下雨,无聊,"全天","自由"
下雨,雨伞,"潮湿","水坑"
下雨,雨伞,"湿地","清凉"
下雨,泥泞,"伞声","湿润"
下雨,雨伞,"潮湿","水洼"
下雨,湿漉,"伞","泥泞"
下雨,打伞,"湿地","泥泞"
下雨,泥泞,"凉爽","湿润"
下雨,潮湿,"伞","阴天"
下雨,湿润,"雨伞","泥泞"
下雨,伞,"湿","云"
下雨,打伞,"湿地","道路"
下雨,湿润,"伞","云层"
下雨,天凉,"打伞","好玩"
下雨,伞,"湿","云"
下雨,天气,"湿润","伞"
下雨,雨伞,"湿润","泥泞"
下雨,湿润,"雨伞","水洼"
下雨,打雷,"伞","水"
专家,知识,"研究","专业"
专家,学者,"权威","知识"
专家,学者,"知识","专业"
专家,知识,"权威","建议"
专家,学者,"专业","权威"
专家,智慧,"经验","学者"
专家,学识,"能力","权威"
专家,学者,"研究","权威"
专家,智者,"权威","知识"
专家,知识,"学者","权威"
专家,学者,"知识","权威"
专家,学者,"权威","知识"
专家,学者,"研究","权威"
专家,学者,"职权","智慧"
专家,智能,"顾问","技能"
专家,学者,"权威","知识"
专家,学术,"专业","权威"
专家,学者,"知识","专业"
专家,学者,"教授","知识"
专家,学者,"权威","知识"
专家,学者,"知识","咨询"
专家,学者,"知识","专业"
专家,学术,"权威","咨询"
专家,学识,"权威","指导"
专家,学者,"知识","咨询"
专家,学者,"教授","专业"
专家,学者,"知识","权威"
专家,学术,"知识","研究"
专家,学者,"权威","知识"
专家,知识,"经验","权威"
专家,知识,"威望","权威"
专家,知识,"高级问题","指导"
专家,学者,"知识","权威"
专家,权威,"知识","指导"
专家,学者,"知识","经验"
专家,学者,"专业","知识"
专家,科学家,"权威","指导"
专家,学者,"知识","权威"
专家,知识,"权威","医生"
专家,权威,"研究","知识"
专家,教授,"专业","知识"
专家,学者,"权威","分析师"
专家,学者,"知识","分析"
专家,学者,"权威","顾问"
专家,学者,"知识","经验"
专家,学术,"权威","精通"
专家,学术,"权威","研究"
专家,知识,"经验","权威"
专家,专业,"权威","顾问"
专家,学者,"知识","专业"
专家,学者,"教育","权威"
专家,权威,"知识","经验"
专家,博士,"权威","学者"
专家,学者,"知识","科技"
专家,知识,"权威","经验"
专家,学识,"经验","权威"
专家,学者,"研究","专业"
专家,学者,"权威","经验"
专家,学者,"研究","权威"
专家,学者,"研究员","权威"
专家,学者,"知识","权威"
专家,权威,"经验","学术"
专家,知识,"权威","专业"
专家,学者,"权威","研究员"
专家,学者,"权威","知识"
专家,智慧,"权威","头衔"
专家,学者,"知识","权威"
专家,智慧,"研究","知识"
专家,知识,"权威","经验"
专家,知识,"经验","聪明"
专家,学者,"权威","引导者"
专家,知识,"研究","权威"
专家,教授,"学者","权威"
专家,学者,"研究","理论"
专家,研究,"知识","经验"
专家,权威,"学者","知识"
专家,知识,"权威","研究"
专家,意见,"研究","分类"
专家,学者,"论点","解答"
专家,学术,"知识","权威"
专家,学者,"教授","知识"
专家,智慧,"权威","指导"
专家,知识,"权威","分析"
专家,学者,"博学","权威"
专家,学识,"技术","权威"
专家,学者,"顾问","专业人士"
专家,学者,"权威","博士"
专家,学者,"技术","知识"
专家,学者,"知识","权威"
专家,知识,"经验","技能"
专家,知识,"建议","专业"
专家,学者,"智者","知识йет"
专家,学者,"顾问","专业"
专家,智者,"知识","权威"
专家,学者,"知识","权威"
专家,知识,"指导","研究"
专家,知识,"权威","建议"
专家,学者,"权威","专长"
专家,知识,"经验","研究"
专家,学者,"知识","解析"
专家,知识,"权威","顾问"
专家,学者,"知识","经验"
专家,学者,"知识","研究"
专家,学者,"权威","知识"
专家,学者,"知识","经验"
专家,学术,"权威","指导"
专家,学者,"权威","知识"
专家,学者,"权威","知识"
专家,学者,"专业","研究员"
专家,知识,"权威","专业"
专家,学者,"专业","知识"
专家,学者,"技术","知识"
专家,学者,"知识","权威"
专家,学术,"权威","知识"
专家,智者,"权威","咨询"
专家,学者,"分析","权威"
专家,博士,"学者","权威"
专家,学者,"指导","权威"
专家,学识,"专业","经验"
专家,权威,"知识","顾问"
专家,学者,"研究","教授"
专家,知识,"权威","分析"
专家,学者,"智慧","研究员"
专家,权威,"经验","知识"
专家,权威,"知识","专业"
专家,学术,"研究","权威"
专家,知识,"经验","资格"
专家,学者,"权威","知识"
专家,知识,"经验","上级"
专家,学者,"权威","研究"
专家,学者,"权威","知识"
专家,学者,"权威","指导"
专家,学者,"知识","权威"
专家,学者,"权威","知识"
专家,学者,"权威","专业"
专家,可靠,"专业","知识"
丝绸,丝路,"光滑","服饰"
丝绸,顺滑,"广州","工艺"
丝绸,柔软,"华丽","舒适"
丝绸,布匹,"滑柔","古老"
丝绸,光滑,"柔软","中国"
丝绸,织布,"华丽","光滑"
丝绸,绸缎,"柔软","华丽"
丝绸,绸缎,"柔软","美丽"
丝绸,古老,"柔软","光泽"
丝绸,古代,"光滑","纺织"
丝绸,光滑,"柔软","中国"
丝绸,柔软,"滑润","温暖"
丝绸,smooth,"柔软","传统"
丝绸,光滑,"优雅","古典"
丝绸,质感,"柔软","中国"
丝绸,柔滑,"古代","贸易"
丝绸,布料,"中国","华丽"
丝绸,柔软,"光泽","中国"
丝绸,显袜,"光滑","丝路"
丝绸,柔软,"中国","工艺"
丝绸,传统,"光滑","中国"
丝绸,丝滑,"织造","布料"
丝绸,古典,"贸易","华丽"
丝绸,织物,"中国","顺滑"
丝绸,华丽,"柔顺","中国"
丝绸,绸缎,"经纬","柔滑"
丝绸,光滑,"织物","中国"
丝绸,柔软,"飘逸","华丽"
丝绸,丝滑,"古典","服装"
丝绸,顺滑,"漂亮","柔软"
丝绸,光滑,"衣物","传统"
丝绸,古代,"丝路","柔软"
丝绸,古代,"光滑","贸易"
丝绸,络绎,"东方","温柔"
丝绸,古代,"软","贸易"
丝绸,中国,"丝路","传统"
丝绸,柔滑,"旗袍","古丝路"
丝绸,柔软,"光滑","亮丽"
丝绸,服装,"光滑","中国"
丝绸,东西,"贸","路"
丝绸,服装,"柔软","光泽"
丝绸,光滑,"历史","中国"
丝绸,光滑,"柔软","中国"
丝绸,中国,"光滑","织物"
丝绸,布料,"华贵","中国"
丝绸,光滑,"柔软","高贵"
丝绸,软,"绚丽","历史"
丝绸,光滑,"柔软","中国"
丝绸,柔顺,"光滑","中国"
丝绸,纺织,"丝缎","尼罗河"
丝绸,顺滑,"中国","織物"
丝绸,古代,"柔软","织物"
丝绸,纺织,"顺滑","江苏"
丝绸,历史,"中国","柔软"
丝绸,顺滑,"光泽","东方"
丝绸,中国,"丝路","绸缎"
丝绸,顺滑,"华丽","东方"
丝绸,柔软,"华丽","优雅"
丝绸,柔软,"光滑","织物"
丝绸,湖泊,"轻柔","传统"
丝绸,杭州,"甬道","商贸"
丝绸,中国,"滑腻","高级"
丝绸,中国,"纹理","织物"
丝绸,光滑,"古代","中国"
丝绸,纺织品,"中国","顺滑"
丝绸,光滑,"中国","传统"
丝绸,丝绸之路,"古代","光滑"
丝绸,服装,"柔软","光滑"
丝绸,光滑,"东方","制作"
丝绸,光滑,"纤细","织锦"
丝绸,滑顺,"古代","织物"
丝绸,纤维,"光滑","中国"
丝绸,蚕,"光滑","织物"
丝绸,中国,"布料","制衣"
丝绸,顺滑,"东方","古老"
丝绸,服装,"中国","高级"
丝绸,柔软,"光滑","丝路"
丝绸,顺滑,"绚丽","古典"
丝绸,柔滑,"中国","服装"
丝绸,柔软,"绸缎","中国"
丝绸,织物,"光滑","透气"
丝绸,柔软,"中国","滑顺"
丝绸,织造,"光滑","赵州桥"
丝绸,中国,"光滑","优雅"
丝绸,光滑,"细腻","中国"
丝绸,柔滑,"衣料","东方"
丝绸,光滑,"衣料","中囯"
丝绸,昆虫,"保障","江南"
丝绸,滑,"古董","布料"
丝绸,绸缎,"中国","布料"
丝绸,中国,"丝路","衣服"
丝绸,华丽,"柔软","古代"
丝绸,滑,"柔","典雅"
丝绸,传统,"中国","光滑"
丝绸,滑,"光泽","柔软"
丝绸,光滑,"中国","路MarcoRussparke"
丝绸,光滑,"绸缎","中国"
丝绸,细腻,"珍贵","中国产"
丝绸,柔软,"锦缎","手感"
丝绸,柔软,"中国","光泽"
丝绸,柔软,"华丽","古典"
丝绸,光滑,"中国","丝路"
丝绸,光滑,"柔软","高贵"
丝绸,光滑,"柔软","中国"
丝绸,服装,"光滑","中国"
丝绸,滑,"韧","柔"
丝绸,光滑,"柔软","中国"
丝绸,光滑,"华丽","高贵"
丝绸,柔滑,"中国","丝绸之路"
丝绸,光滑,"中国","服装"
丝绸,光滑,"柔软","精致"
丝绸,顺滑,"光泽","织物"
丝绸,柔软,"古老","贸易"
丝绸,中国,"古代","服饰"
丝绸,中国,"丝路","蚕"
丝绸,光滑,"中国","路"
丝绸,柔软,"布料","中国"
丝绸,滑,"柔","白"
丝绸,软,"滑","古典"
丝绸,光滑,"中国","织物"
丝绸,光滑,"安徽","路"
丝绸,古代,"光滑","中国"
丝绸,蚕,"光滑","中国"
丝绸,中国,"织布","典雅"
丝绸,柔软,"滑顺","光泽"
丝绸,织物,"中国","光滑"
丝绸,丝路,"光滑","中国"
丝绸,江南,"柔软","光泽"
丝绸,丝滑,"柔软","锦缎"
丝绸,布匹,"织机","柔软"
丝绸,丝滑,"布料","丝路"
丝绸,东方,"柔软","华丽"
丝绸,丝路,"柔软","光泽"
丝绸,顺滑,"织物","中国"
丝绸,顺滑,"古代","路线"
丝绸,布料,"服装","历史"
丝绸,光滑,"古典","中国"
事件,事故,"新闻","计划"
事件,事故,"新闻","近期"
事件,新闻,"动态","进展"
事件,新闻,"事故","发生"
事件,记忆,"新闻","事故"
事件,新闻,"事故","而当"
事件,新闻,"事故","发生"
事件,事故,"发展","新闻"
事件,新闻,"影响","事件"
事件,新闻,"影响","过程"
事件,新闻,"突发","应对"
事件,新闻,"事故","发展"
事件,新闻,"发展","结果"
事件,新闻,"调查","影响"
事件,重大,"发生","日期"
事件,新闻,"讨论","进展"
事件,发生,"紧急","新闻"
事件,事故,"新闻","故事"
事件,事故,"发展","影响"
事件,新闻,"报道","结果"
事件,新闻,"历史","结果"
事件,新闻,"缘由","发展"
事件,新闻,"活动","时间"
事件,历史,"发展","结果"
事件,新闻,"事实","可靠"
事件,故事,"经过","影响"
事件,新闻,"事故","发生"
事件,重要,"结果","影响"
事件,事故,"新闻","日历"
事件,新闻,"争议","报道"
事件,事故,"案件","数据"
事件,结果,"反应","时间"
事件,新闻,"发生","结果"
事件,新闻,"事故","影响"
事件,碰撞,"影响","结果"
事件,新闻,"危机","变化"
事件,新闻,"事故","日程"
事件,历史,"新闻","事故"
事件,地震,"庆典","新闻"
事件,新闻,"事故","纪念"
事件,事故,"故事","新闻"
事件,事故,"当前","纪实"
事件,历史,"新闻","发展"
事件,新闻,"事故","状况"
事件,事故,"时间","新闻"
事件,事故,"时间","过程"
事件,事故,"新闻","回忆"
事件,事故,"新闻","噪音"
事件,新闻,"事故","发展"
事件,事故,"新闻","经历"
事件,新闻,"历史","事故"
事件,事故,"发生","新闻"
事件,事故,"新闻","过程"
事件,事故,"新闻","重大"
事件,根源,"后果","处理"
事件,历史,"发生","影响"
事件,事故,"新闻","时刻"
事件,事故,"历史","新闻"
事件,新闻,"发生","未来"
事件,新闻,"历史","突发"
事件,事故,"新闻","情况"
事件,新闻,"事故","发生"
事件,新闻,"汇报","调查"
事件,新闻,"回忆","冲突"
事件,故事,"机会","互动"
事件,时间,"地点","人物"
事件,发生,"新闻","原因"
事件,突发,"结果","记录"
事件,新闻,"报道","争议"
事件,发生,"新闻","记忆"
事件,新闻,"突发","发展"
事件,新闻,"突发","事故"
事件,新闻,"发生","时间"
事件,新闻,"事故","时刻"
事件,电影,"事故","新闻"
事件,新闻,"意外","影响"
事件,事故,"新闻","情节"
事件,事故,"新闻","变化"
事件,新闻,"事故","发展"
事件,新闻,"报道","影响"
事件,历史,"影响","记忆"
事件,事故,"新闻","结果"
事件,事故,"新闻","过程"
事件,新闻,"事故","回忆"
事件,新闻,"事故","人生"
事件,新闻,"日期","影响"
事件,新闻,"周年","历史"
事件,新闻,"发生","事故"
事件,历史,"新闻","变化"
事件,事故,"新闻","结果"
事件,新闻,"事故","历史"
事件,故事,"记录","时刻"
事件,历史,"发展","责任"
事件,意外,"新闻","事故"
事件,新闻,"事故","发展"
事件,新闻,"突发","抉择"
事件,新闻,"报道","影响"
事件,事故,"故事","活动"
事件,新闻,"分析","影响"
事件,事故,"新闻","意外"
事件,新闻,"发生","曝光"
事件,新闻,"发展","反应"
事件,事故,"新闻","历史"
事件,新闻,"事故","记录"
事件,新闻,"事故","经过"
事件,故事,"背景","发展"
事件,历史,"新闻","影响"
事件,共鸣,"故事","影响"
事件,新闻,"影像","当下"
事件,事故,"新闻","发现"
事件,新闻,"事故","状况"
事件,新闻,"突发","事故"
事件,事故,"发生","过程"
事件,新闻,"回忆","发生"
事件,事故,"由来","结果"
事件,新闻,"报道","影响"
事件,新闻,"发生","事故"
事件,新闻,"发生","过程"
事件,新闻,"事故","故事"
事件,新闻,"发生","过程"
事件,新闻,"发生","影响"
事件,新闻,"发生","记忆"
事件,发生,"结果","影响"
事件,事故,"中止","历程"
事件,新闻,"发生","过程"
事件,历史,"事故","发生"
事件,新闻,"故事","发生"
事件,报告,"发生","自然"
事件,新闻,"影响","发展"
事件,事故,"新闻","故事"
事件,新闻,"影响","时间"
事件,新闻,"变化","发生"
事件,新闻,"事故","发展"
互动,交流,"分享","沟通"
互动,交流,"沟通","参与"
互动,沟通,"交流","参与"
互动,交流,"连接","合作"
互动,沟通,"合作","交流"
互动,交流,"合作","分享"
互动,交流,"合作","沟通"
互动,交流,"连接","参与"
互动,沟通,"合作","交流"
互动,交流,"沟通","联系"
互动,交流,"合作","分享"
互动,交流,"合作","沟通"
互动,交流,"参与","合作"
互动,交流,"参与","回应"
互动,交流,"共享","互联"
互动,交流,"合作","联系"
互动,沟通,"交流","联系"
互动,交流,"连接","参与"
互动,交流,"合作","沟通"
互动,交流,"沟通","合作"
互动,沟通,"交流","联系"
互动,交流,"沟通","联系"
互动,交流,"联系","合作"
互动,交流,"联系","合作"
互动,交流,"合作","联系"
互动,交流,"参与","传达"
互动,交流,"网络","合作"
互动,交流,"沟通","分享"
互动,交流,"沟通","反馈"
互动,交流,"沟通","合作"
互动,交流,"合作","沟通"
互动,交流,"沟通","联系"
互动,交流,"参与","联系"
互动,交流,"参与","联系"
互动,交流,"沟通","合作"
互动,交流,"合作","共享"
互动,交流,"联结","反馈"
互动,交流,"分享","联系"
互动,交流,"分享","连结"
互动,交流,"沟通","联系"
互动,交流,"沟通","合作"
互动,交流,"参与","联系"
互动,沟通,"交流","合作"
互动,交流,"合作","反馈"
互动,沟通,"关系","交流"
互动,交流,"参与","连结"
互动,交流,"合作","共享"
互动,交流,"参与","联系"
互动,交流,"沟通","分享"
互动,交流,"联系","参与"
互动,沟通,"交流","合作"
互动,交流,"联系","协作"
互动,交流,"合作","沟通"
互动,沟通,"交流","合作"
互动,交流,"沟通","参与"
互动,交流,"联系","共享"
互动,交流,"合作","沟通"
互动,交流,"沟通","协作"
互动,交流,"联系","参与"
互动,交流,"联系","沟通"
互动,交流,"反馈","参与"
互动,交流,"沟通","关系"
互动,交流,"合作","沟通"
互动,交流,"沟通","关系"
互动,交流,"沟通","连接"
互动,交流,"联系","合作"
互动,交流,"共享","合作"
互动,交流,"联系","回应"
互动,交流,"分享","合作"
互动,交流,"合作","联系"
互动,交流,"沟通","合作"
互动,交流,"合作","沟通"
互动,交流,"回应","分享"
互动,沟通,"交流","合作"
互动,交流,"共享","合作"
互动,沟通,"交流","合作"
互动,交流,"沟通","分享"
互动,沟通,"交流","参与"
互动,交流,"合作","反馈"
互动,交流,"参与","沟通"
互动,交流,"沟通","合作"
互动,交流,"连接","沟通"
互动,交流,"合作","联系"
互动,交流,"合作","参与"
互动,交流,"连接","分享"
互动,交流,"沟通","合作"
互动,交流,"参与","合作"
互动,交流,"合作","参与"
互动,交流,"联系","配合"
互动,沟通,"交流","参与"
互动,交流,"沟通","合作"
互动,交流,"参与","沟通"
互动,交流,"合作","参与"
互动,沟通,"共享","联系"
互动,交流,"联合","响应"
互动,交流,"联系","分享"
互动,交流,"沟通","参与"
互动,交流,"沟通","合作"
互动,交流,"合作","连接"
互动,交流,"沟通","合作"
互动,交流,"沟通","共享"
互动,交流,"联系","合作"
互动,交流,"参与","反馈"
互动,交流,"合作","连接"
互动,交流,"合作","回应"
互动,交流,"连接","沟通"
互动,交流,"参与","反馈"
互动,合作,"交流","沟通"
互动,交流,"连接","参与"
互动,交流,"沟通","联系"
互动,交流,"参与","关系"
互动,交流,"参与","合作"
互动,交流,"沟通","联系"
互动,交流,"参与","沟通"
互动,沟通,"交流","连接"
互动,交流,"参与","连接"
互动,交流,"沟通","参与"
互动,沟通,"参与","联结"
互动,交流,"沟通","合作"
互动,交流,"沟通","参与"
互动,交流,"沟通","联系"
互动,交流,"合作","沟通"
互动,交流,"连接","参与"
互动,交流,"沟通","协作"
互动,交流,"沟通","合作"
互动,交流,"联系","参与"
互动,交流,"分享","方式"
互动,交流,"合作","回应"
互动,交流,"反馈","沟通"
互动,交流,"互相","沟通"
互动,交流,"沟通","合作"
互动,交流,"分享","参与"
互动,交流,"参与","沟通"
互动,交流,"合作","共享"
互动,交流,"合作","联系"
人类,社会,"智慧","生命"
人类,生存,"智慧","进化"
人类,文明,"发展","智慧"
人类,未来,"科技","文明"
人类,生存,"自然","未来"
人类,历史,"未来","文化"
人类,进化,"文化","社群"
人类,地球,"生活","未来"
人类,文明,"地球","进化"
人类,智慧,"进化","共存"
人类,智慧,"生命","情感"
人类,智慧,"历史","未来"
人类,智慧,"社会","进化"
人类,社会,"情感","生命"
人类,历史,"文明","进步"
人类,智慧,"发展","文明"
人类,智慧,"社会","未来"
人类,社会,"生活","智慧"
人类,生命,"智慧","进化"
人类,物种,"文明","智慧"
人类,社会,"历史","发展"
人类,社会,"智慧","情感"
人类,复杂,"社会","境遇"
人类,社會,"生存","共鳴"
人类,智慧,"团结","共存"
人类,社会,"文明","爱"
人类,未来,"智能","科技"
人类,动物,"智慧","社会"
人类,文明,"科技","生命"
人类,智慧,"社会","进化"
人类,复杂,"创造","未来"
人类,文明,"历史","合作"
人类,文明,"智慧","生命"
人类,社会,"进化","文明"
人类,进化,"社会","科技"
人类,文明,"社会","情感"
人类,文明,"情感","智慧"
人类,智慧,"情感","历史"
人类,社会,"发展","多样"
人类,社会,"进化","情感"
人类,智慧,"文明","交流"
人类,智慧,"社会","文明"
人类,空间,"进化","共同体"
人类,智慧,"科技","梦想"
人类,历史,"智慧","未来"
人类,生命,"智慧","社会"
人类,智慧,"生命","未来"
人类,进化,"沟通","未来"
人类,社会,"进化","未来"
人类,社会,"思想","情感"
人类,生命,"智慧","文明"
人类,进步,"探索","文明"
人类,智慧,"未来","情感"
人类,地球,"文明","未来"
人类,生命,"交流","社会"
人类,社会,"自然","智慧"
人类,成长,"智慧","关爱"
人类,进化,"文明","社会"
人类,智慧,"科技","未来"
人类,进化,"文明","发展"
人类,历史,"情感","未来"
人类,文化,"进化","社会"
人类,创造,"自然","未来"
人类,社会,"文明","科技"
人类,地球,"社会","历史"
人类,未来,"智慧","拓展"
人类,未来,"科技","文明"
人类,智慧,"进化","情感"
人类,文明,"生命","自然"
人类,复杂,"创造","未来"
人类,文明,"自然","探索"
人类,智慧,"科学","历史"
人类,智慧,"生命","未来"
人类,文明,"进化","未来"
人类,复杂,"创造","社会"
人类,社会,"科技","文明"
人类,社会,"自然","未来"
人类,社会,"智慧","未来"
人类,生命,"智慧","未来╝"
人类,文明,"社会","进化"
人类,文明,"族群","发展"
人类,文明,"智慧","未来"
人类,自然,"科技","社会"
人类,社会,"智慧","未来"
人类,文明,"智慧","生命"
人类,复杂,"社会","进化"
人类,智慧,"团结","进步"
人类,生存,"智慧","历史"
人类,文明,"思想","进化"
人类,社会,"历史","共同体"
人类,社会,"科技","文化"
人类,文明,"进化","情感"
人类,文明,"进化","未来"
人类,智慧,"未来","社会"
人类,社会,"进化","文明"
人类,生命,"未来","社会"
人类,快乐,"科学","诗歌"
人类,历史,"时代","进步"
人类,文明,"发展","交流"
人类,生命,"历史","未来"
人类,社会,"未来","多样"
人类,文明,"社会","智慧"
人类,进步,"社会","共存"
人类,情感,"文明","智慧"
人类,动物,"智慧","文明"
人类,社会,"进化","文化"
人类,猿猴,"智慧","团结"
人类,智慧,"文明","情感"
人类,社会,"文明","进步"
人类,文明,"进化","交流"
人类,社会,"进化","思想"
人类,文明,"进化","科技"
人类,社会,"进步","文化"
人类,文明,"智慧","未来"
人类,智慧,"情感","繁荣"
人类,文明,"创造","思考"
人类,进化,"文化","未来"
人类,文明,"科技","未来"
人类,历史,"智慧","未来"
人类,文明,"社会","进步"
人类,社会,"自然","互助"
人类,生命,"历史","智慧"
人类,生命,"智慧","文明"
人类,生命,"文明","自然"
人类,文明,"情感","探索"
人类,社会,"思想","进化"
人类,进化,"社交","文明"
人类,社会,"未来","文化"
人类,进化,"文化","文明"
人类,生活,"发展","情感"
人类,社会,"文明","未来"
人类,社会,"发展","知识"
人类,地球,"文明","进化"
人类,文明,"智慧","未来"
人类,历史,"智慧","情感"
介绍,推销,"自我","背景"
介绍,欢迎,"简介","说明"
介绍,简历,"自我","交流"
介绍,描述,"指引","说明"
介绍,朋友,"工作","自我"
介绍,开场,"自我","交流"
介绍,熟悉,"了解","新朋友"
介绍,开场,"自我","背景"
介绍,讲解,"展示","新知"
介绍,讲解,"引导","说明"
介绍,姓名,"背景","目的"
介绍,讲解,"人物","背景"
介绍,中国,"交换","文字"
介绍,指南,"引荐","说明"
介绍,导游,"开场","自我"
介绍,欢迎,"说明","引荐"
介绍,说明,"演讲","推荐"
介绍,朋友,"聚会","文件"
介绍,书面,"简述","引荐"
介绍,内容,"背景","详细"
介绍,引荐,"引言","导览"
介绍,引导,"沟通","人物"
介绍,文本,"陈述","引入"
介绍,引言,"背景","描述"
介绍,引言,"分享","背景"
介绍,配音,"见面","会面"
介绍,说明,"引荐","提供"
介绍,开始,"自我","名字​​​"
介绍,演讲,"书籍","学习"
介绍,导入,"描述","名片"
介绍,朋友,"新人","背景"
介绍,引荐,"信息","引入"
介绍,人物,"自我","背景"
介绍,讲解,"展示","说明"
介绍,开头,"内容","结尾"
介绍,阐述,"指南","引见"
介绍,新朋友,"编辑","内容"
介绍,定义,"联系","描述"
介绍,新,"知识","人"
介绍,交流,"电台","培训"
介绍,导入,"背景","讲解"
介绍,开场,"职业","精彩"
介绍,开场,"自我","展示"
介绍,开头,"自我","说明"
介绍,请,"朋友","自我"
介绍,新朋友,"开场白","自我网页登录叙奏"
介绍,开场,"问候","主题"
介绍,说明,"推荐","引入"
介绍,导览,"开场白","综述"
介绍,发表,"导引","说明"
介绍,引荐,"说明","内容"
介绍,欢迎,"会议","书本"
介绍,引荐,"初识","自述"
介绍,开始,"自我","说明"
介绍,沟通,"分享","内容"
介绍,人物,"背景","演讲"
介绍,沟通,"交流","主题"
介绍,新人,"背景","话题"
介绍,说明,"背景","内容"
介绍,朋友,"新朋友","见面"
介绍,指南,"背景","编辑"
介绍,名片,"自我","说明"
介绍,人物,"引言","背景"
介绍,开头,"自述","交流"
介绍,导入,"推荐","概述"
介绍,讲解,"推荐","输入"
介绍,演讲,"自我","启动"
介绍,开场,"说明","对象"
介绍,客人,"热情","新颖"
介绍,打开,"欢迎","活动"
介绍,欢迎,"自我","新友"
介绍,名片,"自我","新事物"
介绍,自我,"了解","背景"
介绍,开场,"自我","初次"
介绍,欢迎,"作者","背景"
介绍,开场,"引言","背景"
